序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,river_distance_m,river_distance_category,mean_elevation,std_elevation,max_slope,terrain_risk,is_warning_zone,is_critical_zone,index_station,station_id,station_name,rain_1hr,rain_3hr,rain_24hr,nearest_station_distance_m,nearest_station_name,nearest_rain_1hr,nearest_rain_3hr,nearest_rain_24hr,dynamic_risk,river_risk,slope_risk,rain_risk,risk_score
1495,花蓮縣玉里鎮,長良里,長良143-1號,121.2878,23.2768,長良社區活動中心,長良里,20,"水災,土石流",吳光玉,03-8801450,是,否,否,329.78532147430934,<500m,168.9406016503956,8.33335985328903,41.998334280402936,HIGH,False,False,104,O1T810,卓清國小,1.0,1.0,143.0,1628.130316148883,卓清國小,1.0,1.0,143.0,WARNING,0.8732607389693153,0.5053144490065478,0.5,0.6322355933412247
1500,花蓮縣卓溪鄉,卓清村,1鄰13號,121.2725,23.2775,清水社區活動中心,卓清村清水,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,195.42757098067017,<500m,253.13394585648868,68.69474064432717,53.45540706133408,HIGH,False,False,104,O1T810,卓清國小,1.0,1.0,143.0,115.57669622332756,卓清國小,1.0,1.0,143.0,WARNING,0.9294463941663469,0.656844589898509,0.5,0.6973596149277741
1501,花蓮縣富里鄉,吳江村,6鄰吳江65-3號,121.3227,23.2787,吳江社區活動中心,吳江村,70,"水災,土石流",彭家玲,03-8861180,是,否,是,103.77441594180051,<500m,168.5402246747698,28.64706461199174,44.658267151511616,HIGH,False,False,155,C0Z300,東里,0.0,0.0,181.0,2091.9885708699676,東里,0.0,0.0,181.0,WARNING,0.967773863536845,0.540494464917165,0.0,0.5008691917130452
1528,花蓮縣卓溪鄉,卓清村,12鄰18號,121.2703,23.2956,卓樂社區活動中心,卓清村卓樂社區,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,406.4296983606418,<500m,231.14816121304972,60.50859907225679,57.18361601931424,HIGH,False,False,80,01T220,卓麓(4),0.0,0.0,146.0,343.31536304691826,卓麓(4),0.0,0.0,146.0,WARNING,0.841209632749502,0.7061535224225017,0.0,0.5062694281890762
1555,花蓮縣玉里鎮,樂合里,樂合65-5號,121.345,23.3183,樂合社區活動中心,樂合里,35,"水災,土石流",陳阿洲,03-8887126,是,否,否,205.64166617614225,<500m,188.47014778764228,52.27014564782927,62.64292578643345,HIGH,False,False,60,C0Z061,玉里,0.0,0.0,148.0,651.3636095566656,玉里,0.0,0.0,148.0,WARNING,0.925175069075729,0.7783578274838511,0.0,0.5573186224216604
1559,花蓮縣玉里鎮,源城里,水源57-1號,121.3004,23.3219,源城社區活動中心,源城里,35,"水災,土石流",徐永成,03-8889333,是,否,否,27.763612593400396,<500m,175.61787498149883,22.879446676154465,42.56365781819225,HIGH,False,False,131,C0Z170,卓溪,0.0,0.0,144.0,2496.618230924458,卓溪,0.0,0.0,144.0,WARNING,0.9995600222994895,0.5127913636573243,0.0,0.5036834169020186
1564,花蓮縣玉里鎮,中城里,信義路5號,121.3139,23.3275,玉里慈惠堂,中城里,40,"水災,土石流",何正雄,03-8882921,是,否,否,516.1719241205674,500-1000m,134.1840439192924,3.707416434852124,7.027658870546973,LOW,False,False,131,C0Z170,卓溪,0.0,0.0,144.0,2179.4562458587757,卓溪,0.0,0.0,144.0,SAFE,0.7953176850617214,0.04279566490994803,0.0,0.29119988924458684
1576,花蓮縣玉里鎮,泰昌里,中正路144號,121.3153,23.3352,中正堂,國武里、泰昌里、啟模里、永昌,100,"水災,土石流",邱國峰,03-8883166206,是,否,否,1176.0973723790783,>=1000m,131.78364103123704,3.5907947775697426,8.887100060263958,LOW,False,False,131,C0Z170,卓溪,0.0,0.0,144.0,1625.5415778759273,卓溪,0.0,0.0,144.0,SAFE,0.5193503995469606,0.06738845495725289,0.0,0.20198917632861207
1589,花蓮縣玉里鎮,東豐里,東豐石岡32之1號,121.3399,23.3389,東豐社區活動中心,東豐里,25,"水災,土石流",黎煥發,03-8883720,是,否,否,487.25795146399037,<500m,138.44852984566174,27.0391905969148,31.459419330776214,HIGH,False,False,60,C0Z061,玉里,0.0,0.0,148.0,1927.0240839437317,玉里,0.0,0.0,148.0,WARNING,0.8074089153189274,0.365927775141363,0.0,0.39237145290403347
1601,花蓮縣卓溪鄉,卓溪村,7鄰73號,121.3038,23.3457,卓溪多功能活動中心,卓溪村,50,"水災,土石流",施慧玉,03-8980525,是,否,否,213.01851672209875,<500m,190.65612060796124,35.43930432046589,46.31100498556197,HIGH,False,False,119,81T900,卓溪國小,0.0,0.0,140.5,49.97080013617138,卓溪國小,0.0,0.0,140.5,WARNING,0.9220902214975852,0.562353416295038,0.0,0.4914376024126662
1645,花蓮縣玉里鎮,大禹里,大禹226號,121.3289,23.3805,大禹社區活動中心,大禹里,40,"水災,土石流",張添富,03-8886293,是,否,否,1016.610026500939,>=1000m,103.74068338490457,3.4345776567264896,34.263562719136765,HIGH,False,False,105,O1T820,太平國小,0.0,0.0,157.0,2936.243671877684,太平國小,0.0,0.0,157.0,WARNING,0.5860447360543515,0.40301510546073993,0.0,0.32602018925724496
1662,花蓮縣玉里鎮,觀音里,觀音9-1號,121.3573,23.3951,觀音社區活動中心,觀音里,0,"水災,土石流",李貴福,8851223,是,否,是,295.2009552880973,<500m,109.42267363089829,24.465035306842054,52.92786091245923,HIGH,False,False,54,C1T990,高寮,0.0,0.0,170.5,107.79664110008022,高寮,0.0,0.0,170.5,WARNING,0.887723211484724,0.6498673153542585,0.0,0.505663318625931
1672,花蓮縣卓溪鄉,太平村,1鄰2號,121.3205,23.406,太平國小,太平村,100,"水災,土石流",林進明,03-8888713,是,否,是,416.47897137211584,<500m,170.18213559849667,58.80471492470148,49.492662515864026,HIGH,False,False,105,O1T820,太平國小,0.0,0.0,157.0,47.2449313399833,太平國小,0.0,0.0,157.0,WARNING,0.8370072329152607,0.6044337122881875,0.0,0.4742826452067975
1673,花蓮縣卓溪鄉,太平村,6鄰79-1號,121.3166,23.4071,太平社區活動中心,太平村,50,"水災,土石流",潘佳屏,03-8841364,是,否,是,147.85576831852535,<500m,129.67033176704473,19.68646008086045,50.2527614799989,HIGH,False,False,105,O1T820,太平國小,0.0,0.0,157.0,390.33033234082814,太平國小,0.0,0.0,157.0,WARNING,0.9493399462067483,0.6144867079642639,0.0,0.5166149935616411
1706,花蓮縣玉里鎮,松浦里,松浦214-3號,121.3737,23.4293,松浦社區活動中心,松浦里,0,"水災,土石流",林誠觀,03-8851650,是,否,否,145.44961019511345,<500m,96.41305025349914,18.238266058604545,44.36047715932647,HIGH,False,False,11,C2TA70,赤科坪,0.0,0.0,204.0,3840.223748471657,赤科坪,0.0,0.0,204.0,WARNING,0.950346152176816,0.536555923167903,0.0,0.49358793021225644
1711,花蓮縣玉里鎮,三民里,三民131-2號,121.3498,23.4321,三民社區活動中心,三民里,25,"水災,土石流",彭新發,03-8841164,是,否,否,147.06045760727835,<500m,97.0742092015792,14.092576219346215,44.00849215465779,HIGH,False,False,57,C1Z040,立山,0.0,0.0,160.0,2608.493003988655,立山,0.0,0.0,160.0,WARNING,0.9496725288321083,0.5319006034043701,0.0,0.49195556611254887
1718,花蓮縣卓溪鄉,古風村,12鄰4號,121.332,23.4363,古楓社區活動中心,古風村卓楓、白端社區,50,"水災,土石流",林章成,03-8881852,是,否,是,268.9376906824993,<500m,208.2503106220191,46.622905808841914,47.453662665302076,HIGH,False,False,57,C1Z040,立山,0.0,0.0,160.0,913.177096407663,立山,0.0,0.0,160.0,WARNING,0.898705970008568,0.577466096690198,0.0,0.4877869185100582
1719,花蓮縣卓溪鄉,立山村,6鄰58號,121.332,23.4363,立山社區活動中心,立山村,50,"水災,土石流",高雅芯,03-8841572,是,否,是,268.9376906824993,<500m,208.2503106220191,46.622905808841914,47.453662665302076,HIGH,False,False,57,C1Z040,立山,0.0,0.0,160.0,913.177096407663,立山,0.0,0.0,160.0,WARNING,0.898705970008568,0.577466096690198,0.0,0.4877869185100582
1726,花蓮縣卓溪鄉,崙山村,1鄰12號,121.3443,23.4391,崙山國小,崙山村、立山村,100,"水災,土石流",莊凱杰,03-8841350,是,否,是,1082.7218101410544,>=1000m,162.84708940745008,31.124012502508915,45.811632154146885,HIGH,False,False,57,C1Z040,立山,0.0,0.0,160.0,1792.4297408996977,立山,0.0,0.0,160.0,WARNING,0.558398144276677,0.5557487593334545,0.0,0.3621639782968733
1727,花蓮縣卓溪鄉,崙山村,1鄰11-1號,121.3438,23.4393,崙山社區活動中心,崙山村,50,土石流,施鎮村,03-8841362,是,否,是,1128.8098887391711,>=1000m,168.50003550051431,30.455835156138832,45.811632154146885,HIGH,False,False,57,C1Z040,立山,0.0,0.0,160.0,1737.3318480585174,立山,0.0,0.0,160.0,WARNING,0.5391250552044538,0.5557487593334545,0.0,0.3554183971215951
1757,花蓮縣玉里鎮,春日里,75-1號,121.3967,23.455,春日社區活動中心,春日里,35,"水災,土石流",陳青廉,03-8875453,是,否,否,239.56721982495543,<500m,93.23346433055644,4.723424658753097,15.3510545050099,HIGH,False,False,153,C0Z280,德武,0.0,0.0,170.0,2569.0285851212507,德武,0.0,0.0,170.0,WARNING,0.9109880984493426,0.1528800937431913,0.0,0.36470986258022725
1771,花蓮縣瑞穗鄉,舞鶴村,14鄰中正南路二段278號,121.3536,23.4602,舞鶴社區活動中心,舞鶴村,100,"水災,土石流",楊明林,03-8871755,是,否,是,1262.9288866789705,>=1000m,229.88353063622299,6.972891229106177,49.79938822324684,HIGH,False,False,14,C2TA90,加納納,0.0,0.0,153.5,940.4902428961996,加納納,0.0,0.0,153.5,WARNING,0.4830392414279444,0.6084904369458384,0.0,0.35161086558353205
1778,花蓮縣豐濱鄉,靜浦村,64號,121.4954,23.4615,靜浦國小大禮堂,靜浦村,0,"水災,震災",李楊元,03-8781021,是,否,是,201.16047896761498,<500m,18.59616715898101,16.17456837759927,54.61034448268436,HIGH,False,False,58,C0T9M0,靜浦,0.0,0.0,200.0,702.3637460295497,靜浦,0.0,0.0,200.0,WARNING,0.9270490096444466,0.6721196809732455,0.0,0.5261030576675298
1796,花蓮縣玉里鎮,德武里,5鄰能雅79號,121.4074,23.4669,德武里原住民多功能活動中心,德武里,50,"水災,土石流",余榮富,03-8873161,是,否,否,333.38987885202897,<500m,147.05061723358776,30.710129364316966,43.671416755432936,HIGH,False,False,153,C0Z280,德武,0.0,0.0,170.0,882.8651720247439,德武,0.0,0.0,170.0,WARNING,0.8717533870136717,0.5274424766461315,0.0,0.4633464284486245
1829,花蓮縣豐濱鄉,港口村,7鄰118號,121.5043,23.4745,港口活動中心,港口村,0,"水災,震災,土石流",蕭清秀,03-8791450,是,否,是,791.1281037279284,500-1000m,35.58046254299331,25.98027895714102,49.47690815413508,HIGH,False,False,117,81T880,石梯坪,0.0,0.0,193.0,1192.5523011971738,石梯坪,0.0,0.0,193.0,WARNING,0.680336650882799,0.6042253466176454,0.0,0.41938543179427323
1868,花蓮縣瑞穗鄉,瑞美村,仁愛路109號,121.3904,23.4909,瑞穗青蓮寺,全鄉,100,"水災,土石流",張雲艽,03-8875438,是,否,是,157.09433244501236,<500m,82.034118325703,3.1329949562460446,19.345412789741587,HIGH,False,False,153,C0Z280,德武,0.0,0.0,170.0,2774.6067475634995,德武,0.0,0.0,170.0,WARNING,0.9454765681982646,0.205709091623501,0.0,0.39262952635644294
1870,花蓮縣瑞穗鄉,鶴岡村,167 號,121.39,23.4913,花蓮縣鶴岡國民小學,鶴岡村,100,"水災,震災",蔡伍原,03-8872740,否,否,否,137.84523543062596,<500m,82.40750008797158,3.1620223949498,10.432133254273152,HIGH,False,False,153,C0Z280,德武,0.0,0.0,170.0,2834.5749189326693,德武,0.0,0.0,170.0,WARNING,0.9535261457159809,0.08782291514158828,0.0,0.36008102554306975
1874,花蓮縣瑞穗鄉,瑞良村,4鄰信義路3號,121.394,23.4924,瑞良社區活動中心,瑞良村,30,"水災,土石流",黃義雄,03-8872559,是,否,是,305.18505748263397,<500m,77.27213046650395,5.138982123083691,28.979772494709103,HIGH,False,False,153,C0Z280,德武,0.0,0.0,170.0,2635.801441804219,德武,0.0,0.0,170.0,WARNING,0.883548064749287,0.3331322049624837,0.0,0.40918148415099553
1878,花蓮縣瑞穗鄉,瑞美村,中山路二段389號,121.3916,23.4931,花蓮縣瑞穗鄉瑞美國民小學,瑞美村、瑞良村,50,"水災,土石流",簡三其,03-8872014,是,否,是,91.51223703707895,<500m,79.21338776958233,4.625392943991501,10.668399296834545,HIGH,False,False,153,C0Z280,德武,0.0,0.0,170.0,2856.8933186391882,德武,0.0,0.0,170.0,WARNING,0.9729016552226519,0.09094774705999077,0.0,0.3677999034459254
1880,花蓮縣瑞穗鄉,瑞美村,13鄰中山路二段387號,121.3912,23.4937,瑞美社區活動中心,瑞美村,30,"水災,土石流",蘇院林,03-8871611,是,否,是,136.93335090505641,<500m,78.97472960413718,4.748627476584637,10.075522722360185,HIGH,False,False,153,C0Z280,德武,0.0,0.0,170.0,2933.3642456140988,德武,0.0,0.0,170.0,WARNING,0.9539074771192302,0.08310641860031927,0.0,0.35879954257182634
1883,花蓮縣瑞穗鄉,奇美村,2鄰40號,121.4467,23.4942,奇美社區活動中心,奇美村,20,"水災,土石流",蔣國雄,03-8991001,是,否,是,188.39339518652915,<500m,63.718882655124276,32.61402305673542,66.62851217230804,HIGH,False,False,103,O1T800,奇美國小,0.0,0.0,183.0,312.09366717656087,奇美國小,0.0,0.0,183.0,WARNING,0.9323879421925146,0.8310708090749112,0.0,0.5756570224898534
1891,花蓮縣萬榮鄉,紅葉村,1鄰9號,121.3446,23.4954,紅葉社區活動中心,紅葉村,50,"水災,土石流,海嘯",胡春花,03-8871426,是,否,是,535.4892023056605,500-1000m,206.00612958239876,47.56329031704627,45.97314236822863,HIGH,False,False,56,C1Z030,紅葉,0.0,0.0,147.5,643.4374045073305,紅葉,0.0,0.0,147.5,WARNING,0.7872395955770053,0.5578848778659325,0.0,0.4428993218117316
1894,花蓮縣瑞穗鄉,瑞穗村,成功北路18號,121.3759,23.4982,花蓮縣立瑞穗國民中學,全鄉,200,"水災,土石流",賴慶翰,03-8873111,是,否,是,1144.1367945509512,>=1000m,100.47675701449182,5.053010071070563,8.308131317987128,LOW,False,False,118,81T890,瑞北國小,0.0,0.0,134.0,3029.539328105098,瑞北國小,0.0,0.0,134.0,SAFE,0.532715657592376,0.05973107014642518,0.0,0.20436980120125914
1901,花蓮縣瑞穗鄉,瑞祥村,4鄰祥北路二段127號,121.3588,23.4998,瑞祥社區活動中心,瑞祥村,30,"水災,土石流",黃崧庭,03-8876570,是,否,是,106.02688068842785,<500m,147.1249031237992,27.791034478135032,44.24522343699684,HIGH,False,False,56,C1Z030,紅葉,0.0,0.0,147.5,2171.9881915732667,紅葉,0.0,0.0,147.5,WARNING,0.9668319289842606,0.5350315885392534,0.0,0.4989006517062672
1902,花蓮縣瑞穗鄉,瑞穗村,14鄰民生街41號,121.3787,23.4998,瑞穗社區活動中心,瑞穗村,30,"水災,土石流",吳萬德,03-8872964,是,否,是,830.3972689783313,500-1000m,94.07487247233487,4.984613575091226,8.308131317987128,LOW,False,False,118,81T890,瑞北國小,0.0,0.0,134.0,2864.504011978762,瑞北國小,0.0,0.0,134.0,SAFE,0.6639150914972924,0.05973107014642518,0.0,0.25028960306797987
1913,花蓮縣壽豐鄉,豐裡村,中山路257號,121.3021,23.5034,豐裡活動中心,豐裡村,42,"水災,震災,土石流,海嘯",曾振倫,03-8652802,是,否,是,1611.5913733428597,>=1000m,843.46134972926,96.0273854099223,52.543456798446265,HIGH,False,False,152,C0Z250,瑞穗林道,0.5,1.0,140.0,1267.1543824403584,瑞穗林道,0.5,1.0,140.0,WARNING,0.3372357415638685,0.6447832235736091,0.25,0.39896747661943666
1923,花蓮縣瑞穗鄉,鶴岡村,14鄰85之6號,121.3911,23.5097,鶴岡社區活動中心,鶴岡村,30,"水災,土石流",余新德,03-8873392,是,否,是,471.7644829926029,<500m,91.02101234051821,10.526579264605495,33.57219102627764,HIGH,False,False,148,C0Z210,瑞穗,0.0,0.0,154.0,1575.1603905704217,瑞穗,0.0,0.0,154.0,WARNING,0.8138879660185793,0.39387109005376597,0.0,0.40302211512263253
1957,花蓮縣瑞穗鄉,瑞北村,4鄰祥北路一段54之1號,121.3765,23.5267,瑞北社區活動中心,瑞北村,30,"水災,土石流",李孔忠,03-8871754,是,否,是,353.9328096172418,<500m,99.4256450258184,4.298972667294958,15.095571608069704,HIGH,False,False,118,81T890,瑞北國小,0.0,0.0,134.0,132.77044623998913,瑞北國小,0.0,0.0,134.0,WARNING,0.8631627547615681,0.14950110156001623,0.0,0.34695729463455366
2047,花蓮縣豐濱鄉,豐濱村,16鄰豐里49之1號,121.4859,23.5681,八里灣基督長老教會,豐濱村八里灣部落,0,"水災,震災",吳德助,03-8791653,是,否,是,131.81353461517392,<500m,108.42755735242689,34.36408600531998,54.41400100632206,HIGH,False,False,67,C0T9I0,豐濱,0.0,0.0,195.0,3430.2352741211844,豐濱,0.0,0.0,195.0,WARNING,0.9560484792696726,0.6695228610694813,0.0,0.5354738260652298
2060,花蓮縣瑞穗鄉,富民村,2鄰中正路一段208之1號,121.3745,23.5743,富民社區活動中心,富民村,30,"水災,土石流",劉賢明,03-8811149,是,否,是,725.6776769942538,500-1000m,164.60971021991782,5.117282446579567,15.38084806851649,LOW,False,False,77,C0Z080,富源,0.5,0.5,157.5,1525.6705888012202,富源,0.5,0.5,157.5,SAFE,0.7077066767685102,0.15327414054398855,0.25,0.38117957903217514
2069,花蓮縣萬榮鄉,馬遠村,1鄰5號,121.362553,23.576867,馬遠社區活動中心,馬遠村,120,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,127.9674042984993,<500m,190.11087047786674,25.479767785883936,39.04113133000904,HIGH,False,False,77,C0Z080,富源,0.5,0.5,157.5,1995.6627344443964,富源,0.5,0.5,157.5,WARNING,0.9576568520730395,0.4662027676645975,0.25,0.5625407285249431
2070,花蓮縣萬榮鄉,馬遠村,2鄰馬遠39號,121.361934,23.576872,馬遠國民小學,馬遠村,200,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,190.89843403735497,<500m,197.8869235390111,34.85149473027299,39.04113133000904,HIGH,False,False,77,C0Z080,富源,0.5,0.5,157.5,2046.331228913277,富源,0.5,0.5,157.5,WARNING,0.9313403863305674,0.4662027676645975,0.25,0.5533299655150777
2076,花蓮縣瑞穗鄉,富源村,10鄰學士路31號,121.3759,23.5776,富源社區活動中心,富源村,30,"水災,土石流",周玉梅,03-8811434,是,否,是,1114.4236786399324,>=1000m,168.8645663981535,5.10999500921495,5.973230131596346,LOW,False,False,77,C0Z080,富源,0.5,0.5,157.5,1137.1212813641162,富源,0.5,0.5,157.5,SAFE,0.5451410731658897,0.028849891986199878,0.25,0.2869543432039213
2077,花蓮縣瑞穗鄉,富源村,9鄰中正路157號,121.3764,23.5778,富源消防分隊,富源村、富民村、富興村,75,"水災,土石流",方小明,03-8811885,是,否,是,1158.3292225408338,>=1000m,168.3039387683479,5.1778935047888845,5.973230131596346,LOW,False,False,77,C0Z080,富源,0.5,0.5,157.5,1105.7376200421133,富源,0.5,0.5,157.5,SAFE,0.5267806753340507,0.028849891986199878,0.25,0.28052820396277767
2085,花蓮縣瑞穗鄉,富興村,13鄰東興路134號,121.3877,23.5817,富興社區活動中心,富興村,30,"水災,土石流",莊明州,03-8811414,是,否,是,1466.7085725810387,>=1000m,173.2320801976496,6.418180808060369,6.912699360542163,LOW,False,False,77,C0Z080,富源,0.5,0.5,157.5,1169.731642274449,富源,0.5,0.5,157.5,SAFE,0.39782275688435254,0.04127522150516381,0.25,0.2391205313610725
2117,花蓮縣光復鄉,大全村,建國路一段1號,121.4125,23.598,光復自強外役監獄,大全村,300,"水災,震災,土石流",陳萬來,03-8703914#310,是,是,是,841.7621936312147,500-1000m,230.5917838715875,31.64325772415067,47.90847089810853,HIGH,False,False,49,C1T970,大農,0.5,0.5,197.5,1910.3333433978041,大農,0.5,0.5,197.5,WARNING,0.6591625131343688,0.5834813465636814,0.25,0.49325128356613346
2122,花蓮縣光復鄉,大富村,建國路一段 26之2號,121.4162,23.5992,花東山琉璃禪寺,大富村,50,"水災,震災,土石流",簡進發,03-8731340,是,否,是,466.88805606675436,<500m,251.58691847664969,31.69700778637932,38.629594345158715,HIGH,False,False,49,C1T970,大農,0.5,0.5,197.5,1799.535260662643,大農,0.5,0.5,197.5,WARNING,0.8159271877295904,0.46075981914807823,0.25,0.5113024614497801
